instance,n,qubits,solver,depth,seed,feasible,hit_opt,manoeuvres,manoeuvre_gap,energy,opt_energy,energy_gap,expected_energy,approx_ratio,p_opt,feas_rate,seconds,notes
CP_3,3,9,brute_force,,,True,True,2,0.0,2.0,2.0,0.0,,,,,0.001,ground truth
CP_3,3,9,simulated_annealing,,0.0,True,True,2,0.0,2.0,2.0,0.0,,,,,0.895,"reads=80,sweeps=1500"
CP_3,3,9,qaoa_numpy,1.0,0.0,False,False,0,,24.0,2.0,22.0,22.1832,11.0916,0.058235,0.107166,0.025,restarts=48
CP_3,3,9,qaoa_numpy,2.0,0.0,False,False,0,,16.0,2.0,14.0,13.4686,6.7343,0.074447,0.080152,0.076,restarts=48
CP_3,3,9,qaoa_numpy,3.0,0.0,False,False,0,,24.0,2.0,22.0,17.4101,8.7051,0.006867,0.006936,0.157,restarts=48
CP_3,3,9,qaoa_numpy,4.0,0.0,False,False,0,,24.0,2.0,22.0,17.5868,8.7934,0.006708,0.00672,0.259,restarts=48
CP_3,3,9,simulated_annealing,,1.0,True,True,2,0.0,2.0,2.0,0.0,,,,,0.889,"reads=80,sweeps=1500"
CP_3,3,9,qaoa_numpy,1.0,1.0,False,False,0,,24.0,2.0,22.0,17.8814,8.9407,0.001313,0.001327,0.023,restarts=48
CP_3,3,9,qaoa_numpy,2.0,1.0,False,False,0,,16.0,2.0,14.0,13.8608,6.9304,0.056313,0.06133,0.078,restarts=48
CP_3,3,9,qaoa_numpy,3.0,1.0,False,False,0,,16.0,2.0,14.0,13.3705,6.6852,0.07961,0.087168,0.16,restarts=48
CP_3,3,9,qaoa_numpy,4.0,1.0,False,False,1,,9.0,2.0,7.0,11.4905,5.7453,0.141325,0.163804,0.277,restarts=48
CP_3,3,9,simulated_annealing,,2.0,True,True,2,0.0,2.0,2.0,0.0,,,,,0.928,"reads=80,sweeps=1500"
CP_3,3,9,qaoa_numpy,1.0,2.0,False,False,0,,24.0,2.0,22.0,14.4863,7.2431,0.095172,0.122856,0.025,restarts=48
CP_3,3,9,qaoa_numpy,2.0,2.0,False,False,0,,16.0,2.0,14.0,15.6573,7.8287,0.015994,0.016427,0.077,restarts=48
CP_3,3,9,qaoa_numpy,3.0,2.0,True,True,2,0.0,2.0,2.0,0.0,11.8684,5.9342,0.28155,0.32634,0.155,restarts=48
