instance,n,qubits,solver,depth,seed,feasible,hit_opt,manoeuvres,manoeuvre_gap,energy,opt_energy,energy_gap,expected_energy,approx_ratio,p_opt,feas_rate,seconds,notes
CP_3,3,9,brute_force,,,True,True,2,0.0,2.0,2.0,0.0,,,,,0.001,ground truth
CP_3,3,9,simulated_annealing,,0.0,True,True,2,0.0,2.0,2.0,0.0,,,,,1.006,"reads=80,sweeps=1500"
CP_3,3,9,qaoa_numpy,1.0,0.0,False,False,0,,24.0,2.0,22.0,20.18,10.09,0.001959,0.002008,0.024,restarts=16
CP_3,3,9,qaoa_numpy,2.0,0.0,False,False,0,,16.0,2.0,14.0,11.6184,5.8092,0.096411,0.107305,0.068,restarts=16
CP_3,3,9,qaoa_numpy,3.0,0.0,False,False,0,,24.0,2.0,22.0,16.4732,8.2366,0.012568,0.01286,0.144,restarts=16
CP_3,3,9,qaoa_numpy,4.0,0.0,True,False,3,1.0,3.0,2.0,1.0,10.6668,5.3334,0.096589,0.488446,0.249,restarts=16
CP_3,3,9,qaoa_qiskit,1.0,0.0,True,True,2,0.0,2.0,2.0,0.0,20.2242,10.1121,0.002379,0.002447,0.76,"noiseless,shots=8192"
CP_3,3,9,qaoa_qiskit,2.0,0.0,True,True,2,0.0,2.0,2.0,0.0,31.4487,15.7244,0.00149,0.005159,0.299,"noiseless,shots=8192"
CP_3,3,9,qaoa_qiskit,3.0,0.0,True,True,2,0.0,2.0,2.0,0.0,25.5534,12.7767,0.02797,0.054501,0.407,"noiseless,shots=8192"
CP_3,3,9,qaoa_qiskit,4.0,0.0,True,True,2,0.0,2.0,2.0,0.0,33.9386,16.9693,0.038596,0.052045,0.495,"noiseless,shots=8192"
CP_3,3,9,qaoa_qiskit_noisy,1.0,0.0,True,True,2,0.0,2.0,2.0,0.0,20.1021,10.051,0.002441,0.002563,0.275,"noisy,shots=8192"
CP_3,3,9,qaoa_qiskit_noisy,2.0,0.0,True,True,2,0.0,2.0,2.0,0.0,31.2767,15.6384,0.001221,0.003662,0.291,"noisy,shots=8192"
CP_3,3,9,qaoa_qiskit_noisy,3.0,0.0,True,True,2,0.0,2.0,2.0,0.0,25.3943,12.6971,0.025024,0.051636,0.379,"noisy,shots=8192"
CP_3,3,9,qaoa_qiskit_noisy,4.0,0.0,True,True,2,0.0,2.0,2.0,0.0,33.8186,16.9093,0.03894,0.05249,0.489,"noisy,shots=8192"
CP_3,3,9,simulated_annealing,,1.0,True,True,2,0.0,2.0,2.0,0.0,,,,,0.956,"reads=80,sweeps=1500"
CP_3,3,9,qaoa_numpy,1.0,1.0,False,False,0,,24.0,2.0,22.0,17.8814,8.9407,0.001313,0.001327,0.026,restarts=16
CP_3,3,9,qaoa_numpy,2.0,1.0,False,False,0,,16.0,2.0,14.0,15.5323,7.7661,0.043905,0.047015,0.077,restarts=16
