instance,n,qubits,solver,depth,seed,feasible,hit_opt,manoeuvres,manoeuvre_gap,energy,opt_energy,energy_gap,expected_energy,approx_ratio,p_opt,feas_rate,seconds,notes
CP_6,6,18,brute_force,,,True,True,5,0.0,5.0,5.0,0.0,,,,,0.4,ground truth
CP_6,6,18,simulated_annealing,,0.0,False,False,3,,31.0,5.0,26.0,,,,,1.64,"reads=80,sweeps=1500"
CP_6,6,18,qaoa_numpy,1.0,0.0,False,False,0,,210.0,5.0,205.0,138.1476,27.6295,2.5e-05,2.5e-05,4.07,restarts=24
CP_6,6,18,qaoa_numpy,2.0,0.0,True,False,6,1.0,6.0,5.0,1.0,52.8165,10.5633,0.032575,0.047803,11.595,restarts=24
CP_6,6,18,qaoa_numpy,3.0,0.0,True,False,6,1.0,6.0,5.0,1.0,64.6326,12.9265,0.016549,0.019857,25.223,restarts=24
CP_6,6,18,simulated_annealing,,1.0,False,False,4,,18.0,5.0,13.0,,,,,1.711,"reads=80,sweeps=1500"
CP_6,6,18,qaoa_numpy,1.0,1.0,False,False,0,,84.0,5.0,79.0,67.2042,13.4408,8e-06,0.0,3.263,restarts=24
CP_6,6,18,qaoa_numpy,2.0,1.0,False,False,0,,70.0,5.0,65.0,57.7626,11.5525,0.000512,0.000535,11.562,restarts=24
CP_6,6,18,qaoa_numpy,3.0,1.0,False,False,2,,58.0,5.0,53.0,66.9376,13.3875,0.009906,0.014889,25.421,restarts=24
CP_6,6,18,simulated_annealing,,2.0,False,False,4,,18.0,5.0,13.0,,,,,1.593,"reads=80,sweeps=1500"
CP_6,6,18,qaoa_numpy,1.0,2.0,False,False,0,,84.0,5.0,79.0,94.5656,18.9131,5.3e-05,5.9e-05,3.736,restarts=24
CP_6,6,18,qaoa_numpy,2.0,2.0,False,False,0,,84.0,5.0,79.0,72.722,14.5444,0.00446,0.006021,12.002,restarts=24
CP_6,6,18,qaoa_numpy,3.0,2.0,False,False,0,,84.0,5.0,79.0,85.4278,17.0856,0.000845,0.001685,25.46,restarts=24
CP_6,6,18,simulated_annealing,,3.0,False,False,3,,31.0,5.0,26.0,,,,,1.638,"reads=80,sweeps=1500"
CP_6,6,18,qaoa_numpy,1.0,3.0,False,False,0,,84.0,5.0,79.0,76.4275,15.2855,9.4e-05,0.000136,3.575,restarts=24
CP_6,6,18,qaoa_numpy,2.0,3.0,False,False,0,,84.0,5.0,79.0,59.378,11.8756,0.000613,0.00067,11.857,restarts=24
CP_6,6,18,qaoa_numpy,3.0,3.0,False,False,0,,84.0,5.0,79.0,53.6414,10.7283,0.002378,0.00256,24.828,restarts=24
CP_6,6,18,simulated_annealing,,4.0,False,False,5,,19.0,5.0,14.0,,,,,1.661,"reads=80,sweeps=1500"
CP_6,6,18,qaoa_numpy,1.0,4.0,True,False,6,1.0,6.0,5.0,1.0,65.9987,13.1997,0.008334,0.010776,3.598,restarts=24
CP_6,6,18,qaoa_numpy,2.0,4.0,False,False,0,,84.0,5.0,79.0,59.6884,11.9377,0.001599,0.002014,11.763,restarts=24
CP_6,6,18,qaoa_numpy,3.0,4.0,False,False,0,,84.0,5.0,79.0,73.0217,14.6043,0.000912,0.001071,24.789,restarts=24
CP_6,6,18,simulated_annealing,,5.0,False,False,3,,31.0,5.0,26.0,,,,,1.66,"reads=80,sweeps=1500"
CP_6,6,18,qaoa_numpy,1.0,5.0,False,False,0,,84.0,5.0,79.0,72.7358,14.5472,0.004371,0.005901,3.502,restarts=24
CP_6,6,18,qaoa_numpy,2.0,5.0,False,False,0,,84.0,5.0,79.0,91.9861,18.3972,0.001095,0.00114,11.955,restarts=24
CP_6,6,18,qaoa_numpy,3.0,5.0,False,False,0,,84.0,5.0,79.0,67.1168,13.4234,0.000603,0.001471,25.26,restarts=24
RND6_1,6,18,brute_force,,,True,True,3,0.0,3.0,3.0,0.0,,,,,0.423,ground truth
RND6_1,6,18,simulated_annealing,,0.0,True,False,4,1.0,4.0,3.0,1.0,,,,,1.623,"reads=80,sweeps=1500"
RND6_1,6,18,qaoa_numpy,1.0,0.0,False,False,0,,84.0,3.0,81.0,88.2497,29.4166,1.5e-05,1.5e-05,3.473,restarts=24
RND6_1,6,18,qaoa_numpy,2.0,0.0,False,False,5,,20.0,3.0,17.0,56.1679,18.7226,0.002188,0.030473,11.945,restarts=24
RND6_1,6,18,qaoa_numpy,3.0,0.0,True,False,5,2.0,5.0,3.0,2.0,53.0664,17.6888,0.002618,0.021896,25.264,restarts=24
RND6_1,6,18,simulated_annealing,,1.0,False,False,3,,17.0,3.0,14.0,,,,,1.657,"reads=80,sweeps=1500"
RND6_1,6,18,qaoa_numpy,1.0,1.0,False,False,0,,84.0,3.0,81.0,55.5241,18.508,0.000221,0.000417,3.334,restarts=24
RND6_1,6,18,qaoa_numpy,2.0,1.0,False,False,0,,56.0,3.0,53.0,53.6175,17.8725,0.000477,0.000826,11.641,restarts=24
