n,M,qubits,statevector_ram,qaoa_sim_ideal,qaoa_sim_noisy_local,est_local_time
3,5,15,512 KB,Oui, local,non,1-3 min
4,5,20,16 MB,Oui, local,non,20-45 min
5,5,25,512 MB,Oui, local,non,3-8 h (nuit)
6,5,30,16.0 GB,HPC seulement,non,hors capacite locale
7,5,35,512.0 GB,HPC seulement,non,hors capacite locale
8,5,40,16.0 TB,HPC seulement,non,hors capacite locale
9,5,45,512.0 TB,HPC seulement,non,hors capacite locale
10,5,50,~1.8e16 octets,Impossible (toute machine),non,hors capacite locale
12,5,60,~1.8e19 octets,Impossible (toute machine),non,hors capacite locale
25,5,125,~6.8e38 octets,Impossible (toute machine),non,hors capacite locale
50,5,250,~2.9e76 octets,Impossible (toute machine),non,hors capacite locale
