instance,n,M,qubits,conflict_constraints,gurobi_manoeuvres,gurobi_status,gurobi_gap,gurobi_time_s,sa_reads,sa_sweeps,sa_manoeuvres,sa_feasible,sa_time_s,sa_matches_opt
CP_10,10,3,30,125,9,optimal,0.0,0.001,40,1500,4,False,1.319,False
RNDF10_1,10,3,30,10,1,optimal,0.0,0.0,40,1500,6,True,1.267,False
RNDF10_2,10,3,30,31,5,optimal,0.0,0.001,40,1500,4,False,1.366,False
CP_12,12,3,36,174,11,optimal,0.0,0.002,20,800,2,False,0.438,False
RNDF12_1,12,3,36,35,3,optimal,0.0,0.001,20,800,3,False,0.442,False
RNDF12_2,12,3,36,25,3,optimal,0.0,0.002,20,800,3,False,0.429,False
CP_25,25,3,75,850,25,optimal,0.0,0.007,10,500,4,False,0.282,False
RNDF25_1,25,3,75,116,12,optimal,0.0,0.001,10,500,8,False,0.326,False
RNDF25_2,25,3,75,70,5,optimal,0.0,0.009,10,500,8,False,0.26,False
CP_50,50,3,150,3575,-1,infeasible,,0.018,6,300,3,False,0.183,False
RNDF50_1,50,3,150,424,-1,infeasible,,0.003,6,300,11,False,0.204,False
RNDF50_2,50,3,150,461,-1,infeasible,,0.003,6,300,15,False,0.233,False
